s	cc	g	d	igcell	fee	db	pmt
0	14	1	7	520	3	2	10
0	14	1	8	521	3	2	9
0	14	2	0	522	3	2	1
0	14	2	1	523	3	2	2
0	14	2	2	524	3	2	4
0	14	2	3	525	3	1	5
0	14	2	4	526	3	1	7
0	14	2	5	527	3	1	8
0	14	2	6	528	3	1	1
0	14	2	7	529	3	1	2
0	14	2	8	530	3	1	4
0	14	3	0	531	3	2	13
0	14	3	1	532	3	2	15
0	14	3	2	533	3	2	16
0	14	3	3	534	3	1	9
0	14	3	4	535	3	1	10
0	14	3	5	536	3	1	12
0	14	3	6	537	3	1	13
0	14	3	7	538	3	1	15
0	14	3	8	539	3	1	16
0	15	0	0	540	24	3	8
0	15	0	1	541	24	3	7
0	15	0	2	542	24	3	5
0	15	0	3	543	24	3	4
0	15	0	4	544	24	3	2
0	15	0	5	545	24	3	1
0	15	0	6	546	24	2	8
0	15	0	7	547	24	2	7
0	15	0	8	548	24	2	5
0	15	1	0	549	24	3	12
0	15	1	1	550	24	3	10
0	15	1	2	551	24	3	9
0	15	1	3	552	24	3	16
0	15	1	4	553	24	3	15
0	15	1	5	554	24	3	13
0	15	1	6	555	24	2	12
0	15	1	7	556	24	2	10
0	15	1	8	557	24	2	9
0	15	2	0	558	24	2	1
0	15	2	1	559	24	2	2
0	15	2	2	560	24	2	4
0	15	2	3	561	24	1	5
0	15	2	4	562	24	1	7
0	15	2	5	563	24	1	8
0	15	2	6	564	24	1	1
0	15	2	7	565	24	1	2
0	15	2	8	566	24	1	4
0	15	3	0	567	24	2	13
0	15	3	1	568	24	2	15
0	15	3	2	569	24	2	16
0	15	3	3	570	24	1	9
0	15	3	4	571	24	1	10
0	15	3	5	572	24	1	12
0	15	3	6	573	24	1	13
0	15	3	7	574	24	1	15
0	15	3	8	575	24	1	16
0	16	0	0	576	19	3	8
0	16	0	1	577	19	3	7
0	16	0	2	578	19	3	5
0	16	0	3	579	19	3	4
0	16	0	4	580	19	3	2
0	16	0	5	581	19	3	1
0	16	0	6	582	19	2	8
0	16	0	7	583	19	2	7
0	16	0	8	584	19	2	5
0	16	1	0	585	19	3	12
0	16	1	1	586	19	3	10
0	16	1	2	587	19	3	9
0	16	1	3	588	19	3	16
0	16	1	4	589	19	3	15
0	16	1	5	590	19	3	13
0	16	1	6	591	19	2	12
0	16	1	7	592	19	2	10
0	16	1	8	593	19	2	9
0	16	2	0	594	19	2	1
0	16	2	1	595	19	2	2
0	16	2	2	596	19	2	4
0	16	2	3	597	19	1	5
0	16	2	4	598	19	1	7
0	16	2	5	599	19	1	8
0	16	2	6	600	19	1	1
0	16	2	7	601	19	1	2
